home_team,away_team,scoreline,home_goals,away_goals,probability
Australia,Tunisia,Australia 1-0 Tunisia,1,0,0.1061
Australia,Tunisia,Australia 1-2 Tunisia,1,2,0.0734
Canada,Costa Rica,Canada 0-0 Costa Rica,0,0,0.1945
Canada,Costa Rica,Canada 1-1 Costa Rica,1,1,0.1498
Canada,Costa Rica,Canada 0-1 Costa Rica,0,1,0.1388
Canada,Costa Rica,Canada 1-0 Costa Rica,1,0,0.1335
Canada,Costa Rica,Canada 0-2 Costa Rica,0,2,0.0686
Serbia,Switzerland,Serbia 1-1 Switzerland,1,1,0.1209
Serbia,Switzerland,Serbia 2-1 Switzerland,2,1,0.0862
Serbia,Switzerland,Serbia 1-2 Switzerland,1,2,0.0813
Serbia,Switzerland,Serbia 2-2 Switzerland,2,2,0.0655
Serbia,Switzerland,Serbia 0-0 Switzerland,0,0,0.0577
Poland,Senegal,Poland 1-1 Senegal,1,1,0.146
Poland,Senegal,Poland 0-1 Senegal,0,1,0.1206
Poland,Senegal,Poland 0-0 Senegal,0,0,0.1201
Poland,Senegal,Poland 0-2 Senegal,0,2,0.0914
Poland,Senegal,Poland 1-2 Senegal,1,2,0.0859
Ecuador,Paraguay,Ecuador 1-1 Paraguay,1,1,0.151
Ecuador,Paraguay,Ecuador 0-0 Paraguay,0,0,0.1386
Ecuador,Paraguay,Ecuador 1-0 Paraguay,1,0,0.1233
Ecuador,Paraguay,Ecuador 0-1 Paraguay,0,1,0.0978
Ecuador,Paraguay,Ecuador 2-0 Paraguay,2,0,0.0816
Nigeria,Ghana,Nigeria 0-0 Ghana,0,0,0.1745
Nigeria,Ghana,Nigeria 1-1 Ghana,1,1,0.1501
Nigeria,Ghana,Nigeria 1-0 Ghana,1,0,0.1447
Nigeria,Ghana,Nigeria 0-1 Ghana,0,1,0.1117
Nigeria,Ghana,Nigeria 2-0 Ghana,2,0,0.0834
Cameroon,Algeria,Cameroon 0-0 Algeria,0,0,0.2013
Cameroon,Algeria,Cameroon 0-1 Algeria,0,1,0.1603
Cameroon,Algeria,Cameroon 1-1 Algeria,1,1,0.1461
Cameroon,Algeria,Cameroon 1-0 Algeria,1,0,0.1179
Cameroon,Algeria,Cameroon 0-2 Algeria,0,2,0.085
South Korea,Australia,South Korea 0-0 Australia,0,0,0.1808
South Korea,Australia,South Korea 1-0 Australia,1,0,0.1498
South Korea,Australia,South Korea 1-1 Australia,1,1,0.149
South Korea,Australia,South Korea 0-1 Australia,0,1,0.1121
South Korea,Australia,South Korea 2-0 Australia,2,0,0.0851
Chile,Peru,Chile 1-0 Peru,1,0,0.1468
Chile,Peru,Chile 1-1 Peru,1,1,0.1298
Chile,Peru,Chile 2-0 Peru,2,0,0.1254
Chile,Peru,Chile 0-0 Peru,0,0,0.1193
Chile,Peru,Chile 2-1 Peru,2,1,0.089
Wales,Scotland,Wales 1-1 Scotland,1,1,0.1486
Wales,Scotland,Wales 0-0 Scotland,0,0,0.1225
Wales,Scotland,Wales 0-1 Scotland,0,1,0.1157
Wales,Scotland,Wales 1-0 Scotland,1,0,0.0873
Wales,Scotland,Wales 0-2 Scotland,0,2,0.0837
