country_uid,sample_size,data_density_tier,missing_signals,fallback_used,regional_baseline_used,elo_contribution,squad_contribution,form_contribution,attack_contribution,historical_weight,recent_weight,squad_weight,confidence_adjustment,overall_rank_score,rank
C_ES,118.29147081607474,HIGH,0,False,False,0.45,0.19694511450856816,0.14815083508664972,0.13211035406532548,0.2592458245667514,0.7407541754332486,0.2,0.9877922077922076,0.9158871617717002,1
C_FR,161.54712561011763,HIGH,0,False,False,0.44263136010173365,0.2,0.17711619890923036,0.08536274258933964,0.1144190054538482,0.8855809945461518,0.2,0.9706222943722944,0.8785202375992862,2
C_AR,174.3517974405218,HIGH,0,False,False,0.42001810370828746,0.158675209177017,0.1772183187818737,0.11202042024585834,0.11390840609063158,0.8860915939093684,0.2,0.97629329004329,0.8473562384962019,3
C_DE,176.96526638545217,HIGH,0,False,False,0.35916208604800837,0.17464698549398375,0.17718419579237354,0.11804830353775181,0.11407902103813228,0.8859209789618677,0.2,0.9936796536796538,0.8238017410302418,4
C_BR,173.7784291983251,HIGH,0,False,False,0.3811530238487467,0.17269683016285503,0.11957810885252446,0.13911321525138334,0.4021094557373778,0.5978905442626222,0.2,0.9593652597402595,0.7795237783924422,5
C_PT,126.12307700261924,HIGH,0,False,False,0.37139455415364664,0.17560321801656412,0.14836030432631428,0.08975294493851352,0.2581984783684286,0.7418015216315714,0.2,0.9876574675324676,0.7754207631623591,6
C_GB-ENG,184.9707677243792,HIGH,0,False,False,0.3813420029616592,0.19362656384247556,0.09023583168684154,0.13521257823467073,0.5488208415657923,0.4511791584342077,0.2,0.9607196969696968,0.7689763553292646,7
C_NL,153.47262152395243,HIGH,0,False,False,0.3600496505793067,0.1635048859406964,0.14815083508664972,0.10532766300031036,0.2592458245667514,0.7407541754332486,0.2,0.986758658008658,0.7667440744571622,8
C_IT,154.15158027550402,HIGH,0,False,False,0.3420318561058078,0.15590188758384949,0.18034231966356698,0.10325634509286004,0.09828840168216513,0.9017115983178349,0.2,0.9683739177489176,0.7568156002146819,9
C_JP,114.86562515116468,HIGH,0,False,False,0.35318083576174714,0.12638496268174312,0.1772522233519289,0.0913009447087076,0.11373888324035564,0.8862611167596444,0.2,0.9921791125541124,0.7422680122709643,10
